"ko","pathway","description","log2FoldChange","padj","Factor"
"ko:K01681","path:ko00720","Carbon fixation pathways in prokaryotes",1.37378085460711,0.00415575839370101,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04916","Melanogenesis",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04728","Dopaminergic synapse",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04915","Estrogen signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05010","Alzheimer disease",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04925","Aldosterone synthesis and secretion",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04910","Insulin signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04014","Ras signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04744","Phototransduction",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04971","Gastric acid secretion",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04720","Long-term potentiation",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04921","Oxytocin signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04015","Rap1 signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04261","Adrenergic signaling in cardiomyocytes",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05034","Alcoholism",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05163","Human cytomegalovirus infection",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04922","Glucagon signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04750","Inflammatory mediator regulation of TRP channels",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05133","Pertussis",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04371","Apelin signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04912","GnRH signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05152","Tuberculosis",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05167","Kaposi sarcoma-associated herpesvirus infection",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04626","Plant-pathogen interaction",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04713","Circadian entrainment",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05031","Amphetamine addiction",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04270","Vascular smooth muscle contraction",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05214","Glioma",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05170","Human immunodeficiency virus 1 infection",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04114","Oocyte meiosis",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04740","Olfactory transduction",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04024","cAMP signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04016","MAPK signaling pathway - plant",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04625","C-type lectin receptor signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04070","Phosphatidylinositol signaling system",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04924","Renin secretion",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04022","cGMP-PKG signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04218","Cellular senescence",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04745","Phototransduction - fly",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05200","Pathways in cancer",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04722","Neurotrophin signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04020","Calcium signaling pathway",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko05418","Fluid shear stress and atherosclerosis",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02183","path:ko04970","Salivary secretion",-0.567386617153487,0.00517745285783698,"Vibrio_Vibrio_vs_Control"
"ko:K02872","path:ko03010","Ribosome",-2.08433533643488,0.0343207327749611,"Vibrio_Vibrio_vs_Control"
"ko:K02873","path:ko03010","Ribosome",-1.80044676528567,1.1589201687313e-06,"Vibrio_Vibrio_vs_Control"
"ko:K02877","path:ko03010","Ribosome",2.25142115884269,0.0359882173893307,"Vibrio_Vibrio_vs_Control"
"ko:K02980","path:ko03010","Ribosome",-1.82434575039527,0.0158518397424485,"Vibrio_Vibrio_vs_Control"
"ko:K03007","path:ko04623","Cytosolic DNA-sensing pathway",-3.65007110673165,9.43360165371758e-05,"Vibrio_Vibrio_vs_Control"
"ko:K03007","path:ko05016","Huntington disease",-3.65007110673165,9.43360165371758e-05,"Vibrio_Vibrio_vs_Control"
"ko:K03007","path:ko03020","RNA polymerase",-3.65007110673165,9.43360165371758e-05,"Vibrio_Vibrio_vs_Control"
"ko:K03626","path:ko04928","Parathyroid hormone synthesis, secretion and action",2.17322162681051,1.97448612368394e-05,"Vibrio_Vibrio_vs_Control"
"ko:K05754","path:ko05132","Salmonella infection",1.17245623608028,0.000823522459975474,"Vibrio_Vibrio_vs_Control"
"ko:K05754","path:ko05130","Pathogenic Escherichia coli infection",1.17245623608028,0.000823522459975474,"Vibrio_Vibrio_vs_Control"
"ko:K05754","path:ko05131","Shigellosis",1.17245623608028,0.000823522459975474,"Vibrio_Vibrio_vs_Control"
"ko:K05754","path:ko04810","Regulation of actin cytoskeleton",1.17245623608028,0.000823522459975474,"Vibrio_Vibrio_vs_Control"
"ko:K05754","path:ko05100","Bacterial invasion of epithelial cells",1.17245623608028,0.000823522459975474,"Vibrio_Vibrio_vs_Control"
"ko:K05754","path:ko04666","Fc gamma R-mediated phagocytosis",1.17245623608028,0.000823522459975474,"Vibrio_Vibrio_vs_Control"
"ko:K05754","path:ko04144","Endocytosis",1.17245623608028,0.000823522459975474,"Vibrio_Vibrio_vs_Control"
"ko:K08957","path:ko05226","Gastric cancer",2.29285468171892,0.0344647821251064,"Vibrio_Vibrio_vs_Control"
"ko:K08957","path:ko04340","Hedgehog signaling pathway",2.29285468171892,0.0344647821251064,"Vibrio_Vibrio_vs_Control"
"ko:K08957","path:ko05225","Hepatocellular carcinoma",2.29285468171892,0.0344647821251064,"Vibrio_Vibrio_vs_Control"
"ko:K08957","path:ko05165","Human papillomavirus infection",2.29285468171892,0.0344647821251064,"Vibrio_Vibrio_vs_Control"
"ko:K08957","path:ko04341","Hedgehog signaling pathway - fly",2.29285468171892,0.0344647821251064,"Vibrio_Vibrio_vs_Control"
"ko:K08957","path:ko05224","Breast cancer",2.29285468171892,0.0344647821251064,"Vibrio_Vibrio_vs_Control"
"ko:K08957","path:ko04310","Wnt signaling pathway",2.29285468171892,0.0344647821251064,"Vibrio_Vibrio_vs_Control"
"ko:K10704","path:ko04624","Toll and Imd signaling pathway",1.34519936549159,0.011245013500747,"Vibrio_Vibrio_vs_Control"
"ko:K13758","path:ko00230","Purine metabolism",1.49312883731282,0.0418545855788458,"Vibrio_Vibrio_vs_Control"
"ko:K14753","path:ko05162","Measles",0.872935581572145,9.43360165371758e-05,"Vibrio_Vibrio_vs_Control"
"ko:K16186","path:ko04140","Autophagy - animal",2.44442249083219,0.000322336301926154,"Vibrio_Vibrio_vs_Control"
"ko:K16186","path:ko04150","mTOR signaling pathway",2.44442249083219,0.000322336301926154,"Vibrio_Vibrio_vs_Control"
"ko:K17920","path:ko04144","Endocytosis",0.87513272768252,0.00352994428536116,"Menthol_Menthol_vs_Control"
"ko:K19765","path:ko04212","Longevity regulating pathway - worm",-0.499393928386883,1.64258061854891e-05,"Vibrio_Vibrio_vs_Control"
